,graph_intersection_agressive_distance_matrix.csv,graph_intersection_currency_distance_matrix.csv,graph_intersection_distance_matrix.csv,gtdb_phylo_tree_distance_matrix.csv,jaccard_distance_matrix.csv,ncbi_phylo_tree_distance_matrix.csv,netlsd_agressive_distance_matrix.csv,netlsd_currency_distance_matrix.csv,netlsd_distance_matrix.csv,source_sink_agressive_distance_matrix.csv,source_sink_currency_distance_matrix.csv,source_sink_distance_matrix.csv,wl_agressive_distance_matrix.csv,wl_currency_distance_matrix.csv,wl_distance_matrix.csv
graph_intersection_agressive_distance_matrix.csv,1.0,0.8665906547502799,0.9998805117672345,0.7332122844490989,0.6463907549581049,0.6679772441610689,-0.06555288213454122,-0.008787227238227585,-0.04078785278564551,0.5844094431194132,0.8792462343389214,0.8788487324676811,0.21141999281008308,0.2173078078627314,0.21316514538687775
graph_intersection_currency_distance_matrix.csv,0.8665906547502799,1.0,0.8698200539155516,0.626601814507554,0.8500381002890108,0.5927277874791552,-0.03732796265663382,0.016648434502584807,-0.033009160107469994,0.7837158032292671,0.8788000980894227,0.8783773778415386,0.5199185481062439,0.524743058882437,0.5214951636608942
graph_intersection_distance_matrix.csv,0.9998805117672345,0.8698200539155516,1.0,0.7359087666975037,0.6462251043014408,0.670689653260732,-0.06460053459130596,-0.008628072529942498,-0.040263061533014774,0.5833792101216909,0.8794800736821574,0.8790710473688342,0.2127526856245799,0.21862141403081184,0.21449421942791258
gtdb_phylo_tree_distance_matrix.csv,0.7332122844490989,0.626601814507554,0.7359087666975037,1.0,0.3848261229457635,0.829013697703283,-0.028669461031720772,-0.025207483523377403,-0.031204534344399844,0.30527100619872805,0.6589388123578603,0.6578574990225857,0.14554716873670212,0.15060129015729382,0.14577972485341573
jaccard_distance_matrix.csv,0.6463907549581049,0.8500381002890108,0.6462251043014408,0.3848261229457635,1.0,0.3571951803045079,-0.04444425292284143,-0.018238833311060573,-0.03717055603245229,0.9647774077015688,0.7723495239233682,0.7723369705645896,0.5642791556523682,0.5684165568126431,0.564683317872123
ncbi_phylo_tree_distance_matrix.csv,0.6679772441610689,0.5927277874791552,0.670689653260732,0.829013697703283,0.3571951803045079,1.0,0.039576926070905294,0.006023714451994803,0.005322947057900779,0.27888409286064236,0.6027892700813855,0.6032551473252994,0.16240449250131747,0.16652222405298905,0.16312657734099945
netlsd_agressive_distance_matrix.csv,-0.06555288213454122,-0.03732796265663382,-0.06460053459130596,-0.028669461031720772,-0.04444425292284143,0.039576926070905294,1.0,-0.0077221839027956825,-0.007821248738934966,-0.06290756544151674,-0.04947003743044234,-0.0486531908136054,0.0641198512576382,0.06305761871001526,0.06407475075800423
netlsd_currency_distance_matrix.csv,-0.008787227238227585,0.016648434502584807,-0.008628072529942498,-0.025207483523377403,-0.018238833311060573,0.006023714451994803,-0.0077221839027956825,1.0,-0.007890824588854872,-0.040118286388885635,0.003394325412925901,0.003125974170755342,0.0690240426138742,0.06912289082910925,0.06906432085737436
netlsd_distance_matrix.csv,-0.04078785278564551,-0.033009160107469994,-0.040263061533014774,-0.031204534344399844,-0.03717055603245229,0.005322947057900779,-0.007821248738934966,-0.007890824588854872,1.0,-0.03238747909093119,-0.035216989532100444,-0.034541023819955975,0.06951839520032765,0.0686811360735029,0.06964785392068193
source_sink_agressive_distance_matrix.csv,0.5844094431194132,0.7837158032292671,0.5833792101216909,0.30527100619872805,0.9647774077015688,0.27888409286064236,-0.06290756544151674,-0.040118286388885635,-0.03238747909093119,1.0,0.725053230918046,0.7250913771768347,0.5131386384679105,0.5168663625930909,0.5135635715333915
source_sink_currency_distance_matrix.csv,0.8792462343389214,0.8788000980894227,0.8794800736821574,0.6589388123578603,0.7723495239233682,0.6027892700813855,-0.04947003743044234,0.003394325412925901,-0.035216989532100444,0.725053230918046,1.0,0.9999378929093015,0.4064821725557172,0.4118610338441991,0.4071786948842833
source_sink_distance_matrix.csv,0.8788487324676811,0.8783773778415386,0.8790710473688342,0.6578574990225857,0.7723369705645896,0.6032551473252994,-0.0486531908136054,0.003125974170755342,-0.034541023819955975,0.7250913771768347,0.9999378929093015,1.0,0.40622599545972715,0.4116021479146855,0.40692746065621815
wl_agressive_distance_matrix.csv,0.21141999281008308,0.5199185481062439,0.2127526856245799,0.14554716873670212,0.5642791556523682,0.16240449250131747,0.0641198512576382,0.0690240426138742,0.06951839520032765,0.5131386384679105,0.4064821725557172,0.40622599545972715,1.0,0.9999284390646533,0.9999573996666767
wl_currency_distance_matrix.csv,0.2173078078627314,0.524743058882437,0.21862141403081184,0.15060129015729382,0.5684165568126431,0.16652222405298905,0.06305761871001526,0.06912289082910925,0.0686811360735029,0.5168663625930909,0.4118610338441991,0.4116021479146855,0.9999284390646533,1.0,0.9998562663548113
wl_distance_matrix.csv,0.21316514538687775,0.5214951636608942,0.21449421942791258,0.14577972485341573,0.564683317872123,0.16312657734099945,0.06407475075800423,0.06906432085737436,0.06964785392068193,0.5135635715333915,0.4071786948842833,0.40692746065621815,0.9999573996666767,0.9998562663548113,1.0
